snapshot_ts_ms,stage,symbol,side,strategy,signal_id,pending_id,setup_id,outcome,image_path,context_interval,entry_interval,breakout_level,entry_ref,stop,tp1,tp2,note,image_available
1773834354876,pending,ARBUSDT,SHORT,short_exhaustion_retest,,ARBUSDT-SHORT-EXH-1773833400000,ARBUSDT-SHORT-EXH-1773833400000,,review_snapshots/20260318/ARBUSDT_SHORT_short_exhaustion_retest_pending_1773833400000.png,1h,15m,0.1067,,,,,1h exhaustion 33/35 + 15m breakdown 28/30 -> retest fail pending,
1773834359705,pending,APTUSDT,SHORT,short_exhaustion_retest,,APTUSDT-SHORT-EXH-1773833400000,APTUSDT-SHORT-EXH-1773833400000,,review_snapshots/20260318/APTUSDT_SHORT_short_exhaustion_retest_pending_1773833400000.png,1h,15m,1.0009,,,,,1h exhaustion 27/35 + 15m breakdown 29/30 -> retest fail pending,
1773834363200,pending,OPUSDT,SHORT,short_exhaustion_retest,,OPUSDT-SHORT-EXH-1773833400000,OPUSDT-SHORT-EXH-1773833400000,,review_snapshots/20260318/OPUSDT_SHORT_short_exhaustion_retest_pending_1773833400000.png,1h,15m,0.1342,,,,,1h exhaustion 27/35 + 15m breakdown 28/30 -> retest fail pending,
1773834364787,pending,ETCUSDT,SHORT,short_exhaustion_retest,,ETCUSDT-SHORT-EXH-1773833400000,ETCUSDT-SHORT-EXH-1773833400000,,review_snapshots/20260318/ETCUSDT_SHORT_short_exhaustion_retest_pending_1773833400000.png,1h,15m,8.78,,,,,1h exhaustion 25/35 + 15m breakdown 28/30 -> retest fail pending,
1773835290937,pending,TRUMPUSDT,SHORT,short_exhaustion_retest,,TRUMPUSDT-SHORT-EXH-1773834300000,TRUMPUSDT-SHORT-EXH-1773834300000,,review_snapshots/20260318/TRUMPUSDT_SHORT_short_exhaustion_retest_pending_1773834300000.png,1h,15m,3.621,,,,,1h exhaustion 25/35 + 15m breakdown 28/30 -> retest fail pending,
1773836247040,pending,PAXGUSDT,SHORT,short_exhaustion_retest,,PAXGUSDT-SHORT-EXH-1773835200000,PAXGUSDT-SHORT-EXH-1773835200000,,review_snapshots/20260318/PAXGUSDT_SHORT_short_exhaustion_retest_pending_1773835200000.png,1h,15m,4917.19,,,,,1h exhaustion 35/35 + 15m breakdown 30/30 -> retest fail pending,
1773836248266,pending,AVAXUSDT,SHORT,short_exhaustion_retest,,AVAXUSDT-SHORT-EXH-1773835200000,AVAXUSDT-SHORT-EXH-1773835200000,,review_snapshots/20260318/AVAXUSDT_SHORT_short_exhaustion_retest_pending_1773835200000.png,1h,15m,9.922,,,,,1h exhaustion 33/35 + 15m breakdown 28/30 -> retest fail pending,
1773836273970,pending,GALAUSDT,SHORT,short_exhaustion_retest,,GALAUSDT-SHORT-EXH-1773835200000,GALAUSDT-SHORT-EXH-1773835200000,,review_snapshots/20260318/GALAUSDT_SHORT_short_exhaustion_retest_pending_1773835200000.png,1h,15m,0.00349,,,,,1h exhaustion 33/35 + 15m breakdown 29/30 -> retest fail pending,
1773837034725,confirmed,AVAXUSDT,SHORT,short_exhaustion_retest,AVAXUSDT-SHORT-1773835200000-1,,AVAXUSDT-SHORT-1773835200000-1,,review_snapshots/20260318/AVAXUSDT_SHORT_short_exhaustion_retest_confirmed_1773835200000.png,1h,15m,9.922,9.871,10.16713,9.57487,9.27874,1h exhaustion 33/35 + 15m breakdown 28/30 -> retest fail retest fail + 15m retest 35/35,
1773837035983,confirmed,TRUMPUSDT,SHORT,short_exhaustion_retest,TRUMPUSDT-SHORT-1773834300000-2,,TRUMPUSDT-SHORT-1773834300000-2,,review_snapshots/20260318/TRUMPUSDT_SHORT_short_exhaustion_retest_confirmed_1773834300000.png,1h,15m,3.621,3.58,3.6874000000000002,3.4726,3.3651999999999997,1h exhaustion 25/35 + 15m breakdown 28/30 -> retest fail retest fail + 15m retest 35/35,
1773837983697,closed,UNIUSDT,SHORT,short_exhaustion_retest,UNIUSDT-SHORT-1773818100000-1,,UNIUSDT-SHORT-1773818100000-1,WIN_TP1,review_snapshots/20260318/UNIUSDT_SHORT_short_exhaustion_retest_closed_1773818100000.png,1h,15m,3.943,3.929,4.04687,3.8111299999999995,3.693259999999999,WIN_TP1 | r=1.00 | tp1 hit,
1773837984256,closed,XRPUSDT,SHORT,short_exhaustion_retest,XRPUSDT-SHORT-1773829800000-1,,XRPUSDT-SHORT-1773829800000-1,WIN_TP1,review_snapshots/20260318/XRPUSDT_SHORT_short_exhaustion_retest_closed_1773829800000.png,1h,15m,1.5138,1.5102,1.555506,1.464894,1.4195879999999998,WIN_TP1 | r=1.00 | tp1 hit,
1773837989686,pending,BNBUSDT,SHORT,short_exhaustion_retest,,BNBUSDT-SHORT-EXH-1773837000000,BNBUSDT-SHORT-EXH-1773837000000,,review_snapshots/20260318/BNBUSDT_SHORT_short_exhaustion_retest_pending_1773837000000.png,1h,15m,659.58,,,,,1h exhaustion 27/35 + 15m breakdown 27/30 -> retest fail pending,
